search_title,job_title,relevance_score,company,location,posted,url,licensed_sponsor,sponsorship_signal,sponsorship_evidence,hiring_contact_name,hiring_contact_title
data scientist,Data Scientist,0.4444444444444444,Odysse Ltd.,"Croydon, England, United Kingdom",2026-02-19,https://uk.linkedin.com/jobs/view/data-scientist-at-odysse-ltd-4375187721,False,unknown,,,
junior data scientist,Data Scientist,0.4444444444444444,Intellect Group,"London Area, United Kingdom",2026-02-18,https://uk.linkedin.com/jobs/view/data-scientist-at-intellect-group-4364662096,False,unknown,,,
data scientist,Data Scientist,0.4444444444444444,Harmonic Security,"London, England, United Kingdom",2026-02-09,https://uk.linkedin.com/jobs/view/data-scientist-at-harmonic-security-4370875106,False,unknown,,,
data analyst,Junior Data Analyst,0.42857142857142855,Anson McCade,"London Area, United Kingdom",2026-03-06,https://uk.linkedin.com/jobs/view/junior-data-analyst-at-anson-mccade-4380282141,False,unknown,,,
ai engineer,Trainee AI Engineer,0.42857142857142855,TipTopJob,"Hackney, England, United Kingdom",2026-03-05,https://uk.linkedin.com/jobs/view/trainee-ai-engineer-at-tiptopjob-4381136994,False,unknown,,,
ai engineer,AI Engineer,0.42857142857142855,Noxus,"London Area, United Kingdom",2026-02-17,https://uk.linkedin.com/jobs/view/ai-engineer-at-noxus-4373973509,False,unknown,,,
junior data analyst,Trainee Data Analyst,0.41379310344827586,TipTopJob,"Southend-On-Sea, England, United Kingdom",2026-03-05,https://uk.linkedin.com/jobs/view/trainee-data-analyst-at-tiptopjob-4381155229,False,unknown,,,
junior data analyst,Trainee Data Analyst,0.41379310344827586,TipTopJob,"Greater London, England, United Kingdom",2026-03-04,https://uk.linkedin.com/jobs/view/trainee-data-analyst-at-tiptopjob-4380594998,False,unknown,,,
ml engineer,AI/ML Engineer,0.4,GSK,"London, England, United Kingdom",2026-02-24,https://uk.linkedin.com/jobs/view/ai-ml-engineer-at-gsk-4377449682,False,unknown,,,
ml engineer,AI / ML Engineer,0.375,Cpl Life Sciences,"London Area, United Kingdom",2026-03-10,https://uk.linkedin.com/jobs/view/ai-ml-engineer-at-cpl-life-sciences-4383487903,False,unknown,,,
ml engineer,AI & ML Engineer,0.375,Charlotte Tilbury Beauty,"London, England, United Kingdom",2026-03-08,https://uk.linkedin.com/jobs/view/ai-ml-engineer-at-charlotte-tilbury-beauty-4312056259,False,unknown,,,
data analyst,Data Analyst (Mid Level),0.36363636363636365,Wordwall,"London, England, United Kingdom",2026-02-25,https://uk.linkedin.com/jobs/view/data-analyst-mid-level-at-wordwall-4377882210,False,unknown,,,
ml engineer,Junior ML engineer,0.35294117647058826,Xantura Limited,"London, England, United Kingdom",2026-02-20,https://uk.linkedin.com/jobs/view/junior-ml-engineer-at-xantura-limited-4377160789,False,unknown,,,
mlops engineer,Software Engineer - ML Ops,0.3225806451612903,Haystack,"London Area, United Kingdom",2026-03-03,https://uk.linkedin.com/jobs/view/software-engineer-ml-ops-at-haystack-4379405300,False,unknown,,,
ai trainer,HR Business Partner - AI Trainer - Freelance - 8-20 hrs/week - Remote,0.2391304347826087,10x.Team,"London, England, United Kingdom",2026-03-08,https://uk.linkedin.com/jobs/view/hr-business-partner-ai-trainer-freelance-8-20-hrs-week-remote-at-10x-team-4382684007,False,unknown,,,
data science consultant,Data Engineering & Data Science Consultant,0.20408163265306123,Infosys Consulting,"London, England, United Kingdom",2026-02-09,https://uk.linkedin.com/jobs/view/data-engineering-data-science-consultant-at-infosys-consulting-4370534710,False,unknown,,,
junior ai engineer,"Junior AI Engineer - £75,000 - London (Hybrid/Flexible)",0.1282051282051282,Oliver Bernard,"London Area, United Kingdom",2026-02-24,https://uk.linkedin.com/jobs/view/junior-ai-engineer-%C2%A375-000-london-hybrid-flexible-at-oliver-bernard-4374576573,False,unknown,,,
